id,title,brand,model,year,price,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,location,post_time,crawl_time,weight,load_capacity
124995587,Hyundai Santa Fe 2021 2.5 Xăng Cao Cấp - 57000 km,Hyundai,Santa Fe,2021,999000000,57000,Xăng,Tự động,,Đang cập nhật,SUV / Cross over,7,Đã sử dụng,"Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",Đăng 4 phút trước,2025-05-18 13:56:32,> 1 tấn,> 2 tấn
124553983,Vinfast Lux A Premium 2019 - Xám - 2v3km - BSTP,VinFast,Lux A2.0,2019,589000000,23000,Xăng,Tự động,1,Đang cập nhật,Sedan,,Đã sử dụng,"Phường An Khánh (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 24 ngày trước,2025-05-18 13:56:34,> 1 tấn,> 2 tấn
124368048,"🚗KIA SELTOS 2023 LUXURY - GIÁ TỐT, XE ĐẸP NHƯ MỚI!",Kia,Seltos,2023,650000000,3000,Xăng,Tự động,1,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường Thạnh Mỹ Lợi (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-18 13:56:35,> 1 tấn,> 2 tấn
125018837,Suzuki Ertiga 2022 1.5 AT - 38000 km,Suzuki,Ertiga,2022,465000000,38000,Xăng,Tự động,1,Nước khác,SUV / Cross over,7,Đã sử dụng,"Phường Bình Trưng Tây (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 2 ngày trước,2025-05-18 13:56:37,> 1 tấn,> 2 tấn
125043855,Kia Morning 2022 1.25 MT - 50000 km,Kia,Morning,2022,280000000,50000,Xăng,Số sàn,1,Việt Nam,Hatchback,5,Đã sử dụng,"Xã Đông Phương, Huyện Kiến Thuỵ, Hải Phòng",Đăng 3 phút trước,2025-05-18 13:56:38,> 1 tấn,> 2 tấn
124646993,"✅ XE TẠI Q.7, TPHCM. SƠN ZIN 99,99%, KO LỖI 100%",VinFast,Fadil,2021,327000000,25900,Xăng,Tự động,1,Việt Nam,Hatchback,2,Đã sử dụng,"Phường Chánh Mỹ, Thành phố Thủ Dầu Một, Bình Dương",Đăng 19 ngày trước,2025-05-18 13:56:40,> 1 tấn,> 2 tấn
124714278,Mercedes Benz C200 Exclusive  Model 2019,Mercedes Benz,C Class,2018,849000000,55000,Xăng,Tự động,1,Việt Nam,Sedan,5,Đã sử dụng,"Phường 4, Quận 8, Tp Hồ Chí Minh",Đăng 6 phút trước,2025-05-18 13:56:40,> 1 tấn,> 2 tấn
125011299,Toyota Fortuner 2013 2.7V 4x2 AT - 88000 km,Toyota,Fortuner,2013,445000000,88000,Xăng,Tự động,1,Việt Nam,SUV / Cross over,7,Đã sử dụng,"Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",Đăng 9 phút trước,2025-05-18 13:56:42,> 1 tấn,> 2 tấn
124089755,Mazda CX 8 2021 Deluxe - 31000 km,Mazda,CX 8,2021,720000000,31000,Xăng,Tự động,,Đang cập nhật,SUV / Cross over,7,Đã sử dụng,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-18 13:56:44,> 1 tấn,> 2 tấn
125043856,Ford Ranger 2020 XLS 2.2L 4x2 AT - 10v km,Ford,Ranger,2020,538000000,10000,Dầu,Tự động,1,Thái Lan,Pick-up (bán tải),5,Đã sử dụng,"Phường Gia Thụy, Quận Long Biên, Hà Nội",Đăng 4 phút trước,2025-05-18 13:56:44,> 1 tấn,> 2 tấn
124747534,Toyota Corolla Cross 2020 1.8V - Xe hãng không lỗi,Toyota,Corolla Cross,2020,685000000,45200,Xăng,Tự động,1,Thái Lan,SUV / Cross over,5,Đã sử dụng,"Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",Đăng 6 phút trước,2025-05-18 13:56:46,> 1 tấn,> 2 tấn
124788059,vinfast Fadil 2022 xe đẹp 1 chủ từ mới,VinFast,Fadil,2022,312000000,50000,Xăng,Tự động,,Việt Nam,--,,Đã sử dụng,"Phường Kênh Dương, Quận Lê Chân, Hải Phòng",Đăng 1 phút trước,2025-05-18 13:56:47,> 1 tấn,> 2 tấn
121940630,BMW X1 2017 sDrive18i,BMW,X1,2017,599000000,165000,Xăng,Tự động,1,Đức,SUV / Cross over,5,Đã sử dụng,"Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",Đăng 1 phút trước,2025-05-18 13:56:49,> 1 tấn,> 2 tấn
