id,title,brand,model,year,price,mileage,fuel_type,transmission,owners,origin,car_type,seats,condition,location,post_time,crawl_time,weight,load_capacity
123343702,[SỐC] ATTRAGE MT 2025 LĂN BÁNH RẺ HƠN GIÁ NIÊM YẾT,Mitsubishi,Attrage,2025,334000000,,Xăng,Số sàn,,Thái Lan,Sedan,5,Mới,"Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",Đăng 5 ngày trước,2025-05-18 14:07:24,,
123076521,"Honda City Trả trước 117tr,GIẢM 50% TB,TIẾT KIỆM",Honda,City,2025,569000000,,Xăng,Tự động,,Việt Nam,--,5,Mới,"Phường 4, Quận Tân Bình, Tp Hồ Chí Minh",Đăng 12 ngày trước,2025-05-18 14:07:26,,
124935996,Skoda Karoq 2023 Ambition,Skoda,Karoq,2023,799000000,,Xăng,Tự động,,Đức,SUV / Cross over,,Mới,"Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh",Đăng 5 ngày trước,2025-05-18 14:07:27,,
125065245,Hyundai Accent 2022 At Cao cấp - 26000 km,Hyundai,Accent,2022,452000000,26000,Xăng,Tự động,,Việt Nam,--,,Đã sử dụng,"Phường An Lạc, Thị Xã Buôn Hồ, Đắk Lắk",Đăng 1 phút trước,2025-05-18 14:07:28,> 1 tấn,> 2 tấn
118791861,KIA CARNIVAL 2025 GIẢM 70TR GIAO NGAY,Kia,Carnival,2025,1279000000,,Dầu,Tự động,,Hàn Quốc,SUV / Cross over,7,Mới,"Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh",Đăng 5 tháng trước,2025-05-18 14:07:29,,
124354376,"Mitsubishi Pajero GLS V43, nguyên bản",Mitsubishi,Pajero,1998,178000000,180000,Xăng,Số sàn,,Nhật Bản,--,7,Đã sử dụng,"Phường 5, Quận 11, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-18 14:07:30,> 1 tấn,> 2 tấn
124997602,Ford Everest 2022 Titanium 2.0L 4x4 AT,Ford,Everest,2022,1020000000,51000,Dầu,Tự động,,Thái Lan,SUV / Cross over,7,Đã sử dụng,"Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Đăng 6 phút trước,2025-05-18 14:07:31,> 1 tấn,> 2 tấn
125019257,xe Kia Morning 2015 MT - 350000 km,Kia,Morning,2015,130000000,350000,Xăng,Số sàn,1,Đang cập nhật,--,5,Đã sử dụng,"Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",Đăng 2 ngày trước,2025-05-18 14:07:33,> 1 tấn,> 2 tấn
125044094,Mitsubishi Attrage 2020 1.2 CVT - 74136 km,Mitsubishi,Attrage,2020,309000000,74136,Xăng,Tự động,1,Thái Lan,Sedan,5,Đã sử dụng,"Xã Yên Dương, Huyện Hà Trung, Thanh Hóa",Đăng 4 phút trước,2025-05-18 14:07:34,> 1 tấn,> 2 tấn
124977298,"VinFast VFe34, biển TPHCM, một chủ, còn RẤT MỚI",VinFast,VFe34,2022,468000000,27300,Điện,Tự động,1,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường An Lạc A, Quận Bình Tân, Tp Hồ Chí Minh",Đăng 4 ngày trước,2025-05-18 14:07:35,> 1 tấn,> 2 tấn
124381963,Mitsubishi Xpander 2025 Premium 1.5 AT giá ưu đãi,Mitsubishi,Xpander,2025,615000000,,Xăng,Tự động,,Nước khác,Minivan (MPV),7,Mới,"Phường Tân Thới Hiệp, Quận 12, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-18 14:07:37,,
125065236,V33 chiến binh( hàng hiếm),Mitsubishi,Pajero,2001,13333333,190000,Xăng,Số sàn,1,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường Vạn Mỹ, Quận Ngô Quyền, Hải Phòng",Đăng 2 phút trước,2025-05-18 14:07:38,> 1 tấn,> 2 tấn
124384738,Ford Focus 2013 1.6 MT - 110000 km,Ford,Focus,2013,205000000,110000,Xăng,Số sàn,1,Việt Nam,Sedan,5,Đã sử dụng,"Phường Linh Chiểu (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-18 14:07:40,> 1 tấn,> 2 tấn
125011978,MG5 Luxury Model 2023 - Công ty xuất hóa đơn,MG,MG5,2022,409000000,40000,Xăng,Tự động,,Thái Lan,Sedan,5,Đã sử dụng,"Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",Đăng 5 phút trước,2025-05-18 14:07:41,> 1 tấn,> 2 tấn
124879351,Kia Sorento 2WD DATH full dầu 9 vạn km full đồ,Kia,Sorento,2015,485000000,90000,Dầu,Tự động,,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",Đăng 8 ngày trước,2025-05-18 14:07:43,> 1 tấn,> 2 tấn
124625631,"VENTUNER 2.0AT 2018 BẢO HÀNH 1 NĂM ,VAY 70%",Toyota,Innova,2018,538000000,85000,Xăng,Tự động,,Đang cập nhật,--,,Đã sử dụng,"Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",Đăng 20 ngày trước,2025-05-18 14:07:44,> 1 tấn,> 2 tấn
125065133,Kia New Sonet 2025 Deluxe 1.5 AT,Kia,Sonet,2025,170000000,,Xăng,Tự động,,Việt Nam,--,5,Mới,"Xã Vĩnh Hiệp, Thành phố Nha Trang, Khánh Hòa",Đăng 7 phút trước,2025-05-18 14:07:45,,
123463336,Mercedes Benz GLE450 4Matic nhập Mỹ có Cửa Sổ trời,Mercedes Benz,GLE Class,2019,2699000000,90000,Xăng,Tự động,1,Mỹ,SUV / Cross over,7,Đã sử dụng,"Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Đăng 2 ngày trước,2025-05-18 14:07:46,> 1 tấn,> 2 tấn
124566510,Vinfast Lux SA Base 2020 - Màu đen - 6vkm - BSTP,VinFast,Lux SA2.0,2020,640000000,60000,Xăng,Tự động,1,Việt Nam,SUV / Cross over,7,Đã sử dụng,"Phường An Khánh (Quận 2 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Đăng 23 ngày trước,2025-05-18 14:07:48,> 1 tấn,> 2 tấn
124847413,Mercedes Benz GLC 300 4matic up model 2020,Mercedes Benz,GLC Class,2016,859000000,60000,Xăng,Tự động,,Nước khác,SUV / Cross over,5,Đã sử dụng,"Phường 4, Quận 8, Tp Hồ Chí Minh",Đăng 2 phút trước,2025-05-18 14:07:49,> 1 tấn,> 2 tấn
124889817,Mitsubishi Xpander 2021 1.5 MT - 25000 km,Mitsubishi,Xpander,2021,450000000,25000,Xăng,Số sàn,,Nước khác,Minivan (MPV),7,Đã sử dụng,"Xã Hòa Phú, Thành phố Buôn Ma Thuột, Đắk Lắk",Đăng 3 phút trước,2025-05-18 14:07:50,> 1 tấn,> 2 tấn
124312687,"Toyota Veloz Cross Top 2023 -22,500km Zin cứng cáp",Toyota,Veloz Cross,2023,575000000,22500,Xăng,Tự động,1,Việt Nam,Minivan (MPV),7,Đã sử dụng,"Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-18 14:07:51,> 1 tấn,> 2 tấn
124594390,Hyundai Solati 2022 - 70000 km,Hyundai,Solati,2022,878000000,70000,Dầu,Số sàn,,Việt Nam,--,16,Đã sử dụng,"Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh",Đăng 22 ngày trước,2025-05-18 14:07:53,> 1 tấn,> 2 tấn
123829175,OUTLANDER 2024 6000km SIÊU LƯỚT,Mitsubishi,Outlander,2024,785000000,6000,Xăng,Tự động,1,Việt Nam,SUV / Cross over,7,Đã sử dụng,"Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",Đăng 2 tháng trước,2025-05-18 14:07:54,> 1 tấn,> 2 tấn
124877960,Chính chủ cần bán xe Mazda 3 mua hãng ít sử dụng,Mazda,3,2021,536000000,27000,Xăng,Tự động,1,Việt Nam,Sedan,,Đã sử dụng,"Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh",Đăng 8 ngày trước,2025-05-18 14:07:56,> 1 tấn,> 2 tấn
124995587,Hyundai Santa Fe 2021 2.5 Xăng Cao Cấp - 57000 km,Hyundai,Santa Fe,2021,999000000,57000,Xăng,Tự động,,Đang cập nhật,SUV / Cross over,7,Đã sử dụng,"Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",Đăng 15 phút trước,2025-05-18 14:08:00,> 1 tấn,> 2 tấn
125021638,💥💥VinFast 2025 EC VAN 💥💥,VinFast,Dòng khác,2025,285000000,,Điện,Tự động,,Việt Nam,Van,2,Mới,"Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",Đăng 8 phút trước,2025-05-18 14:08:02,,
125043855,Kia Morning 2022 1.25 MT - 50000 km,Kia,Morning,2022,280000000,50000,Xăng,Số sàn,1,Việt Nam,Hatchback,5,Đã sử dụng,"Xã Đông Phương, Huyện Kiến Thuỵ, Hải Phòng",Đăng 14 phút trước,2025-05-18 14:08:04,> 1 tấn,> 2 tấn
125065098,Toyota Corolla Altis 2009 1.8G AT - 160000 km,Toyota,Corolla Altis,2009,280000000,160000,Xăng,Tự động,1,Đài Loan,Sedan,5,Đã sử dụng,"Xã Cổ Loa, Huyện Đông Anh, Hà Nội",Đăng 10 phút trước,2025-05-18 14:08:05,> 1 tấn,> 2 tấn
124089755,Mazda CX 8 2021 Deluxe - 31000 km,Mazda,CX 8,2021,720000000,31000,Xăng,Tự động,,Đang cập nhật,SUV / Cross over,7,Đã sử dụng,"Phường 1, Quận Gò Vấp, Tp Hồ Chí Minh",Đăng 1 tháng trước,2025-05-18 14:08:06,> 1 tấn,> 2 tấn
125043856,Ford Ranger 2020 XLS 2.2L 4x2 AT - 10v km,Ford,Ranger,2020,538000000,10000,Dầu,Tự động,1,Thái Lan,Pick-up (bán tải),5,Đã sử dụng,"Phường Gia Thụy, Quận Long Biên, Hà Nội",Đăng 15 phút trước,2025-05-18 14:08:08,> 1 tấn,> 2 tấn
125020516,Kia Sonet  2023 - 25000 km,Kia,Sonet,2023,575000000,25000,Xăng,Tự động,,Việt Nam,SUV / Cross over,5,Đã sử dụng,"Xã Hải Lý, Huyện Hải Hậu, Nam Định",Đăng 2 ngày trước,2025-05-18 14:08:09,> 1 tấn,> 2 tấn
125043982,Ford Transit 2010 2.4L  - 100000 km,Ford,Transit,2010,190000000,100000,Dầu,Số sàn,,Việt Nam,Van,7,Đã sử dụng,"Phường Văn Quán, Quận Hà Đông, Hà Nội",Đăng 9 phút trước,2025-05-18 14:08:11,> 1 tấn,> 2 tấn
124788059,vinfast Fadil 2022 xe đẹp 1 chủ từ mới,VinFast,Fadil,2022,312000000,50000,Xăng,Tự động,,Việt Nam,--,,Đã sử dụng,"Phường Kênh Dương, Quận Lê Chân, Hải Phòng",Đăng 13 phút trước,2025-05-18 14:08:12,> 1 tấn,> 2 tấn
121940630,BMW X1 2017 sDrive18i,BMW,X1,2017,599000000,165000,Xăng,Tự động,1,Đức,SUV / Cross over,5,Đã sử dụng,"Phường Tân Phong, Quận 7, Tp Hồ Chí Minh",Đăng 12 phút trước,2025-05-18 14:08:13,> 1 tấn,> 2 tấn
