id_xe,tieu_de,gia_ban_text,nam_san_xuat,hang_xe_mau_xe,gia_ban,tinh_trang,so_km,xuat_xu,kieu_dang,dong_co,nhien_lieu,dung_tich,mau_ngoai_that,mau_noi_that,so_cho,so_cua,ngay_dang,dia_chi,thanh_pho
6184543,"Xe 
			
							Toyota Corolla Cross 
						1.8V 
						2021
						- 720 Triệu",720 Triệu,2021,Xe Toyota Corolla Cross 1.8V,720.0,Xe đã dùng,41000.0,Nhập khẩu,SUV,Xăng  1.8 L,Xăng,1.8,Xám,Đen,5,5,12/04/2025,"56A An Dương Vương, Phường 16, Quận 8 TP HCM",TP HCM
6156369,"Xe 
			
							Ford Ranger 
						Raptor 2.0L 4x4 AT 
						2023
						- 1 Tỷ 175 Triệu",1 Tỷ 175 Triệu,2023,Xe Ford Ranger Raptor 2.0L 4x4 AT,1000.0,Xe đã dùng,33000.0,Nhập khẩu,Bán tải / Pickup,Dầu  2.0 L,Dầu,2.0,Xám,Đen,5,4,12/04/2025,"61 Cao Thắng , p3 , Q3 TP HCM 
								 Xem gian hàng  ⇨",TP HCM
6140327,"Xe 
			
							Ford Ranger 
						XLS 2.0L 4x2 AT 
						2025
						- 677 Triệu",677 Triệu,2025,Xe Ford Ranger XLS 2.0L 4x2 AT,677.0,Xe mới,,Lắp ráp trong nước,Bán tải / Pickup,Dầu  2.0 L,Dầu,2.0,Trắng,Đỏ,5,4,12/04/2025,105 Láng Hạ Hà Nội,Hà Nội
6133248,"Xe 
			
							Ford Everest 
						Titanium 2.0L 4x4 AT 
						2019
						- 895 Triệu",895 Triệu,2019,Xe Ford Everest Titanium 2.0L 4x4 AT,895.0,Xe đã dùng,45000.0,Nhập khẩu,SUV,Dầu  2.0 L,Dầu,2.0,Trắng,Đen,7,5,12/04/2025,"150 Huỳnh Tấn Phát, P. Tân Thuận Tây, Quận 7 TP HCM 
								 Xem gian hàng  ⇨",TP HCM
6110829,"Xe 
			
							Toyota Fortuner 
						2.7V 4x2 AT 
						2019
						- 710 Triệu",710 Triệu,2019,Xe Toyota Fortuner 2.7V 4x2 AT,710.0,Xe đã dùng,85000.0,Nhập khẩu,SUV,Xăng  2.7 L,Xăng,2.7,Bạc,Nâu,7,5,12/04/2025,"Lạc Long Quân,  Tân Bình TP HCM",TP HCM
6076889,"Xe 
			
							Hyundai Elantra 
						2.0 AT Cao cấp 
						2023
						- 640 Triệu",640 Triệu,2023,Xe Hyundai Elantra 2.0 AT Cao cấp,640.0,Xe đã dùng,11000.0,Lắp ráp trong nước,Sedan,Xăng  2.0 L,Xăng,2.0,Đen,Đen,5,4,12/04/2025,"191-193 Nguyễn Văn Cừ, P. Võ Cường, Tp. Bắc Ninh Bắc Ninh",
5914836,"Xe 
			
							Toyota Land Cruiser 
						3.5 V6 
						2025
						- 4 Tỷ 286 Triệu",4 Tỷ 286 Triệu,2025,Xe Toyota Land Cruiser 3.5 V6,4000.0,Xe mới,,Nhập khẩu,SUV,Xăng  3.4 L,Xăng,3.4,Đen,Đen,7,5,12/04/2025,"Thanh Xuân Hà Nội 
								 Xem gian hàng  ⇨",Hà Nội
6150755,"Xe 
			
							Mercedes Benz S class 
						S400L 
						2015
						- 1 Tỷ 161 Triệu",1 Tỷ 161 Triệu,2015,Xe Mercedes Benz S class S400L,1000.0,Xe đã dùng,80000.0,Lắp ráp trong nước,Sedan,Xăng  3.0 L,Xăng,3.0,Đen,Nâu,5,4,12/04/2025,Tp Hcm TP HCM,TP HCM
4662175,"Xe 
			
							Mercedes Benz Maybach 
						S680 4Matic 
						2022
						- 14 Tỷ 900 Triệu",14 Tỷ 900 Triệu,2022,Xe Mercedes Benz Maybach S680 4Matic,14000.0,Xe mới,,Nhập khẩu,Sedan,Xăng  6.0 L,Xăng,6.0,Trắng,Kem,4,4,12/04/2025,Số 2 Tôn Thất Thuyết - Mỹ Đình Hà Nội,Hà Nội
6184036,"Xe 
			
							Lexus RX 
						350 
						2017
						- 2 Tỷ 620 Triệu",2 Tỷ 620 Triệu,2017,Xe Lexus RX 350,2000.0,Xe đã dùng,75000.0,Nhập khẩu,SUV,Xăng  3.5 L,Xăng,3.5,Trắng,Nâu,5,5,12/04/2025,"463A - 463B Trần Hưng Đạo, Phường Cầu Kho, Quận 1, TP.HCM TP HCM",TP HCM
6165188,"Xe 
			
							Ford Focus 
						Trend 1.5L 
						2017
						- 422 Triệu",422 Triệu,2017,Xe Ford Focus Trend 1.5L,422.0,Xe đã dùng,40000.0,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Xăng,1.5,Đỏ,Đen,5,4,12/04/2025,"161F phường 3, Quận 8 TP HCM 
								 Xem gian hàng  ⇨",TP HCM
6162867,"Xe 
			
							Hyundai Custin 
						Cao Cấp 1.5T 
						2025
						- 922 Triệu",922 Triệu,2025,Xe Hyundai Custin Cao Cấp 1.5T,922.0,Xe mới,,Lắp ráp trong nước,Van/Minivan,Xăng  1.5 L,Xăng,1.5,Xanh,Đen,7,5,12/04/2025,"94-96 Phạm Đình Hổ, Phường 2, Quận 6 TP HCM",TP HCM
6138892,"Xe 
			
							VinFast VF5 
						Plus 
						2025
						- 499 Triệu",499 Triệu,2025,Xe VinFast VF5 Plus,499.0,Xe mới,,Lắp ráp trong nước,SUV,Điện,Điện,,Ghi,Đen,5,5,12/04/2025,65/1A Lê Thị Riêng - Thới An - Quận 12 - TPHCM TP HCM,TP HCM
6063632,"Xe 
			
							Toyota Corolla Cross 
						1.8V 
						2025
						- 790 Triệu",790 Triệu,2025,Xe Toyota Corolla Cross 1.8V,790.0,Xe mới,,Nhập khẩu,SUV,Xăng  1.8 L,Xăng,1.8,Trắng,Đen,5,5,12/04/2025,"315 Trường Chinh - Thanh Xuân Hà Nội 
								 Xem gian hàng  ⇨",Hà Nội
6169760,"Xe 
			
							Lexus ES 
						250 
						2025
						- 2 Tỷ 360 Triệu",2 Tỷ 360 Triệu,2025,Xe Lexus ES 250,2000.0,Xe mới,,Nhập khẩu,Sedan,Xăng  2.5 L,Xăng,2.5,Đen,Kem,5,4,12/04/2025,"Tổ dân phố 8, P Mỹ Đình 1, Q Nam Từ Liêm (Ngã 4 Phạm Hùng vs Dương Đình Nghệ) Hà Nội",Hà Nội
5161761,"Xe 
			
							Mini Cooper 
						Clubman S 
						2023
						- 2 Tỷ 339 Triệu",2 Tỷ 339 Triệu,2023,Xe Mini Cooper Clubman S,2000.0,Xe mới,,Nhập khẩu,Hatchback,Xăng  2.0 L,Xăng,2.0,Trắng,Đen,5,5,12/04/2025,"68 Lê Văn Lương, P. Nhân Chính, Q. Thanh Xuân Hà Nội",Hà Nội
6184222,"Xe 
			
							Mazda CX8 
						Luxury 
						2022
						- 860 Triệu",860 Triệu,2022,Xe Mazda CX8 Luxury,860.0,Xe đã dùng,16000.0,Lắp ráp trong nước,SUV,Xăng  2.5 L,Xăng,2.5,Xanh,Đen,7,5,12/04/2025,"463A - 463B Trần Hưng Đạo, Phường Cầu Kho, Quận 1, TP.HCM TP HCM",TP HCM
6148650,"Xe 
			
							Mazda CX5 
						2.5 AT AWD 
						2016
						- 525 Triệu",525 Triệu,2016,Xe Mazda CX5 2.5 AT AWD,525.0,Xe đã dùng,69000.0,Lắp ráp trong nước,SUV,Xăng  2.5 L,Xăng,2.5,Đen,Đen,5,5,12/04/2025,"272 Nguyễn Xiển, Thanh Xuân Hà Nội",Hà Nội
6078883,"Xe 
			
							Mazda 3 
						1.5L Luxury 
						2023
						- 606 Triệu",606 Triệu,2023,Xe Mazda 3 1.5L Luxury,606.0,Xe đã dùng,0.0,Lắp ráp trong nước,Sedan,Xăng  1.5 L,Xăng,1.5,Trắng,Đồng,5,4,12/04/2025,Hà Nội Hà Nội,Hà Nội
6156946,"Xe 
			
							Honda CRV 
						E 
						2021
						- 785 Triệu",785 Triệu,2021,Xe Honda CRV E,785.0,Xe đã dùng,46000.0,Lắp ráp trong nước,SUV,Xăng  1.5 L,Xăng,1.5,Trắng,Kem,7,5,12/04/2025,"272 Nguyễn Xiển, Thanh Xuân Hà Nội",Hà Nội
6078839,"Xe 
			
							Mercedes Benz E class 
						E250 
						2012
						- 438 Triệu",438 Triệu,2012,Xe Mercedes Benz E class E250,438.0,Xe đã dùng,90000.0,Lắp ráp trong nước,Sedan,Xăng  1.8 L,Xăng,1.8,Đen,Kem,5,4,12/04/2025,Hà Nội Hà Nội,Hà Nội
6181058,"Xe 
			
							Mitsubishi Xforce 
						Exceed 
						2024
						- 629 Triệu",629 Triệu,2024,Xe Mitsubishi Xforce Exceed,629.0,Xe đã dùng,5000.0,Nhập khẩu,SUV,Xăng  1.5 L,Xăng,1.5,Trắng,Đen,5,5,12/04/2025,"272 Nguyễn Xiển, Thanh Xuân Hà Nội",Hà Nội
6115568,"Xe 
			
							Hyundai Kona 
						Đặc biệt 2.0 AT 
						2022
						- 585 Triệu",585 Triệu,2022,Xe Hyundai Kona Đặc biệt 2.0 AT,585.0,Xe đã dùng,29000.0,Lắp ráp trong nước,Crossover,Xăng  2.0 L,Xăng,2.0,Trắng,Đen,5,5,12/04/2025,"272 Nguyễn Xiển, Thanh Xuân Hà Nội",Hà Nội
6177252,"Xe 
			
							Honda Civic 
						G 1.5 AT 
						2022
						- 665 Triệu",665 Triệu,2022,Xe Honda Civic G 1.5 AT,665.0,Xe đã dùng,55000.0,Nhập khẩu,Sedan,Xăng  1.5 L,Xăng,1.5,Xám,Đen,5,4,12/04/2025,"272 Nguyễn Xiển, Thanh Xuân Hà Nội",Hà Nội
6116841,"Xe 
			
							Mazda 3 
						1.5 AT 
						2018
						- 445 Triệu",445 Triệu,2018,Xe Mazda 3 1.5 AT,445.0,Xe đã dùng,80000.0,Lắp ráp trong nước,Hatchback,Xăng  1.5 L,Xăng,1.5,Đỏ,Đen,5,5,12/04/2025,"272 Nguyễn Xiển, Thanh Xuân Hà Nội",Hà Nội
